FID,ROADNAME,NUM_LANES,SUR_TYPE,Label_Cate
3114,SOUTH MT SHASTA BOULEVARD,2,Paved,County Road
3115,TWIN VIEW COURT,2,Paved,County Road
3116,SOUTH OLD STAGE ROAD,2,Paved,County Road
3117,W A BARR ROAD,2,Paved,County Road
3118,I-5R,2,Paved,Interstate Ramp
3119,I-5R,2,Paved,Interstate Ramp
3120,NORTH SHORE ROAD,2,Paved,County Road
3121,SISKIYOU LAKE BL,2,Paved,County Road
3122,VILLA ROAD,2,Paved,County Road
3123,ANDREW COURT,2,Paved,County Road
3124,MATTHEW COURT,2,Paved,County Road
3125,I-5,2,Paved,Interstate
3126,I-5R,2,Paved,Interstate Ramp
3127,I-5,2,Paved,Interstate
3128,I-5,3,Paved,Interstate
3129,I-5,2,Paved,Interstate
3130,I-5,2,Paved,Interstate
3131,I-5,2,Paved,Interstate
3132,CONESTOGA COURT,2,Paved,County Road
3133,SAWYERS BAR ROAD,2,Paved,County Road
3134,CONESTOGA COURT,2,Paved,County Road
3135,ANDREW COURT,2,Paved,County Road
3136,BIG CANYON DRIVE,2,Paved,County Road
3137,VILLA ROAD,2,Paved,County Road
3138,AZALEA ROAD,2,Paved,County Road
3139,I-5R,2,Paved,Interstate Ramp
3140,AZALEA ROAD,2,Paved,County Road
3141,I-5,3,Paved,Interstate
3142,AZALEA ROAD,2,Paved,County Road
3143,I-5,2,Paved,Interstate
3144,BIG CANYON DRIVE,2,Paved,County Road
3145,I-5R,2,Paved,Interstate Ramp
3146,I-5,3,Paved,Interstate
3147,AZALEA ROAD,2,Paved,County Road
3148,AZALEA ROAD,2,Paved,County Road
3149,EDDYS GULCH ROAD,2,Unpaved,County Road
3150,AZALEA ROAD,2,Paved,County Road
3151,SOUTH OLD STAGE ROAD,2,Paved,County Road
3152,SEAN WAY,2,Paved,County Road
3153,FRYER WAY,2,Paved,County Road
3154,FRYER WAY,2,Paved,County Road
3155,BIG CANYON DRIVE,2,Paved,County Road
3156,W A BARR ROAD,2,Paved,County Road
3157,CASTLE LAKE ROAD,2,Paved,County Road
3158,NEY SPRINGS ROAD,2,Paved,County Road
3159,SOUTH OLD STAGE ROAD,2,Paved,County Road
3160,SOUTH OLD STAGE ROAD,2,Paved,County Road
3161,SOUTH OLD STAGE ROAD,2,Paved,County Road
3162,SHASTA SPR MCCLOUD ROAD,2,Paved,County Road
3163,I-5,2,Paved,Interstate
3164,SAWYERS BAR ROAD,2,Paved,County Road
3165,HWY 89,2,Paved,State Highway
3166,SALMON RIVER ROAD,2,Paved,County Road
3167,CECILVILLE ROAD,2,Paved,County Road
3168,CECILVILLE ROAD,2,Paved,County Road
3169,WALNUT STREET,2,Paved,County Road
3170,I-5,3,Paved,Interstate
